id,subject,message
4368,תרגיל מחר,"<p dir=""rtl"" style=""text-align:right;"">שלום<br />אשמח לדעת האם יש תרגיל מחר?</p>"
5052,תשובה ל: תרגיל מחר,"<div class=""text_to_html"">התרגולים יתחילו ב10.11</div>"
12129,הקלטות תרגולים,"<p dir=""rtl"" style=""text-align:right;"">שלום, האם יעלו הקלטות של התרגולים הסמסטר? ואם לא ניתן להעלות כרגע בגלל העיצומים של הסגל אשמח אם אפשר להעלות תרגולים משנה שעברה. </p>"
12466,תשובות לשאלות לתרגול,"<p dir=""rtl"" style=""text-align:right;"">איפה ניתן למצוא תשובות לשאלות לתרגול שפרסמתם במודל (תחת חוברת תרגילים, הקובץ ""חוברת - שאלות"")? אני לא מוצא תשובות בתוך קובץ השאלות<br /></p>"
15593,קבוצת וואצפ לתלמידים ,"<p dir=""rtl"" style=""text-align:right;"">האם יש קבוצת וואצפ לביוכימיה? ואם כן, אפשר לשלוח פה קישור להצטרפות?<br /></p>"
16457,תשובה ל: קבוצת וואצפ לתלמידים ,"<div class=""text_to_html"">https://chat.whatsapp.com/EbEw0o9XuBdBj4u4TWUPaK</div>"
17015,מספר שאלות על החומר - לקראת הבוחן,"<p dir=""rtl"" style=""text-align:right;"">היי,</p><p dir=""rtl"" style=""text-align:right;"">מספר שאלות שיש לי על החומר שאשמח לקבל עליהן מענה:</p><p dir=""rtl"" style=""text-align:right;""><span lang=""he"" style=""font-size:0.9375rem;"" xml:lang=""he"">- beta turn רלוונטי רק ליריעות אנטי מקבילות, האם לולאות </span><span dir=""ltr"" style=""font-size:0.9375rem;"">loop</span><span dir=""rtl"" style=""font-size:0.9375rem;""></span><span dir=""rtl"" style=""font-size:0.9375rem;""></span><span lang=""he"" style=""font-size:0.9375rem;"" xml:lang=""he""><span dir=""rtl""></span><span dir=""rtl""></span>
רלוונטיות לשני הסוגים (הן המקביל והן האנטי מקביל)? ובמידה ולא - מה מחבר בין היריעות המקבילות?</span></p><p dir=""rtl"" style=""text-align:right;""><span style=""font-size:0.9375rem;"">- האם
דנטורציה בהכרח מעבירה חלבון ממבנה שלישוני למבנה ראשוני או שהוא יכול להגיע גם
למבנה שניוני? כלומר בגלל שחלבון לא יכול להיות חצי חצי אז לאיזו נקודה הוא בהכרח
יגיע? מבנה ראשוני או שלישוני?</span></p><p dir=""rtl"" style=""text-align:right;""><span style=""font-size:0.9375rem;"">- מצד אחד נאמר שאין חלבון שהוא חצי מקופל וחצי לא מקופל כי זה תהליך
קואופרטיבי ומהיר אבל מצד שני משפך האנרגיה מציג וגם נאמר שיש מצבי ביניים בתהליך
הקיפול – איך זה לא סותר? מהו מצב ביניים אם לא מצב של חלק מהחלבון ככה וחלק ככה?</span></p><p dir=""rtl"" style=""text-align:right;""><span style=""font-size:0.9375rem;"">תודה,</span></p><br /><p></p>"
21380,תשובה ל: מספר שאלות על החומר - לקראת הבוחן,"<div class=""text_to_html"">1. נכון<br />
2. שאנחנו מדבברים עם דנטורציה הכוונה פירוק המבנה שנינוני ושלישוני למבנה ראשוני<br />
3. מצב ביניים זה מצב שהוא לא יציב, לכן גם אם חלבון ישהה בו הוא מיד ימשיך להתקפל.</div>"
19423,שאלה 3 חוברת שאלות,"<p dir=""rtl"" style=""text-align:right;"">איך יודעים את הסדר בו אנו צריכים לצייר את החומצות , מלבד היותה של של השמאלית אמינית והימנית קרבוקסילית?<br />למשל במקרה זה הצמידו את האלאנין לקרבוקסיל , למה לא הצמידו את הליזין?</p><p dir=""rtl"" style=""text-align:right;""><img src=""https://moodle.tau.ac.il/2022/pluginfile.php/360070/mod_forum/post/19423/image%20%281%29.png"" alt="""" class=""img-fluid"" /><img src=""https://moodle.tau.ac.il/2022/pluginfile.php/360070/mod_forum/post/19423/image.png"" alt="""" class=""img-fluid"" /><br /></p>"
21384,תשובה ל: שאלה 3 חוברת שאלות,"<div class=""text_to_html"">פפטידים תמיד מצוירים מהקצה האמיני- בשמאל לקצה הקרבוקסילי- ימין.<br />
אם תצטרכו לצייר יהיה רשום הסדר המדוייק</div>"
