id,subject,message
,,
,,
,,
4252,Re: קבוצה בוואטסאפ,"<div class=""text_to_html"">https://chat.whatsapp.com/HpgJFiEGwQq9Dq5Pyx80gz</div>"
,,
,,
,,
4270,נוסחת הבינום השנייה של ניוטון,"<p dir=""rtl"" style=""text-align:right;""><img src=""https://moodle.tau.ac.il/2022/pluginfile.php/247542/mod_forum/post/4270/image.png"" alt="""" class=""img-fluid"" style=""font-size:0.9375rem;"" /><br /></p><p dir=""rtl"" style=""text-align:right;""><br /></p><p dir=""rtl"" style=""text-align:right;"">אשמח אם מישהו שפתר את זה ישווה את הפתרון עם שלי/יבדוק אם הדרך נכונה :)</p><p dir=""rtl"" style=""text-align:right;""><br /></p><p dir=""rtl"" style=""text-align:right;"">איליה</p>"
5549,תשובה ל: נוסחת הבינום השנייה של ניוטון,"<div class=""text_to_html"">איליה שלום,<br />
ההוכחה שכתבת יפה מאוד.<br />
שים לב לשתי הנקודות הבאות:<br />
ניסוח ההוכחה טוען שלכל a,b ממשיים מתקיימת טענה מסויימת.<br />
על כן ההוכחה צריכה להתחיל ב-""יהיו a,b in R""<br />
בנוסף, כאשר הוצאת את b כגורם משותף, נאלצת לחלק ב-b, וזאת מבלי להתיחס לאפשרות שבה b=0.<br />
<br />
בכדי לתקן את ההוכחה שלך, לאחר שתרשום ""יהיו a,b in R"", תוכל להפריד למקרים בהם b=0 ו-b שונה מ-0/<br />
<br />
בהצלחה:)<br />
עדי</div>"
5607,תשובה ל: נוסחת הבינום השנייה של ניוטון,"<div class=""text_to_html"">היי עדי,<br />
<br />
תודה על ההערות.<br />
עבור b=0 הנחת האידוקציה הינה (a^n-b^n=0)<br />
כלומר אני צריך להוכיח שצעד האינדוקציה מקיים (   a^(n+1) - b^(n+1) = 0   )  ?<br />
<br />
תודה,<br />
איליה</div>"
7233,תשובה ל: נוסחת הבינום השנייה של ניוטון,"<div class=""text_to_html"">איליה שלום,<br />
אם אתה רוצה להשתמש בהוכחה שכתבת, אני ממליץ לנסות להוכיח בנפרד את הנוסחה עבור b=0, ואחר כך עבור b שאינו 0 להשתמש אינדוקציה.<br />
<br />
ניתן גם להוכיח את הטענה ללא הפרדה למקרים, שים לב כי לכל n טבעי ולכל a,b ממשיים מתקיים<br />
a^(n+1)-b^(n+1)=a^(n+1)-a*b^n+a*b^n-b^(n+1)=a(a^n-b^n)+(a-b)*b^n<br />
ואז יכול להיות נוח יותר להשתמש באינדוקציה.<br />
בהצלחה<br />
עדי</div>"
5153,סיכום שיעור2,"<p dir=""rtl"" style=""text-align:right;"">מתי עולה סיכום שיעור 2?</p><p dir=""rtl"" style=""text-align:right;"">אני ממש מצפה בקוצר רוח😁</p>"
5188,תשובה ל: סיכום שיעור2,"<div class=""text_to_html"">הוא עלה כבר! פשוט נמצא באותו קובץ של שיעור 1, בהמשך שלו.</div>"
