id,subject,message
4856,בעיה בפתיחת קבצי powerpoint של מצגות מרצה+תרגולים,"היי, יש לי בעיה בווינדוס לפתוח את קבצי הpowerpoint של ההרצאות.

מתקבלת ההודעה שמצורפת בתמונות.

נראה שזאת בעיה של הרשאות שניתנו בקבצים (אם למשל הם שיתוף מgoogle drive או dropbox או המערכת של האתר?)
יש דרך לטפל בזה? או אולי מהצד שלי איך לעקוף את זה?

תודה!"
5145,תשובה ל: בעיה בפתיחת קבצי powerpoint של מצגות מרצה+תרגולים,"הבעיה לא מופיעה אצלי (הורדתי את הקובץ כרגע), אז אני לא חושב שזה בעיית הרשאות.

הקובץ נפתח בתצוגה מוגנת, תנסי לבטל את האופציה באפשרויות של הפאור פוינט
אם תיקיית הורדות שלך מסונכרנת אוטומטית (לדרייב כלשהו) תנסי להעביר את הקובץ לתיקייה לא מסונכרנת.

אם לא עוזר אני יכול לנסות לשלוח לך את הקובץ במייל"
6054,סילבוס הקורס,"היי,

היכן ניתן למצוא סילבוס מפורט לקורס?"
8430,תשובה ל: סילבוס הקורס,"היי רוני,

אין לקורס סילבוס מפורט. הוא עובר אותו דבר כבר כמה שנים ואפשר למצוא את החומרים משנים קודמות בדרייב (עם דגש על סמסטר א)."
9181,קירובים שימושיים להוכחת יחס אסימפטוטי,"ראיתי בספר הקורס, כי בשאלות של עצרת, משתמשים לעיתים בנוסחת הקירוב של סטירלינג להוכחת יחס אסימפטוטי (לדוגמא בשביל להוכיח כי n!=o(n^n) ו n!=w(2^n) כאשר w מסמל אומגה קטנה)

רציתי לדעת אם ישנם קירובים נוספים שכדאי לדעת לצורך הוכחת יחסים אסימפטוטים בין פונקציות.

תודה ויום טוב"
9529,תשובה ל: קירובים שימושיים להוכחת יחס אסימפטוטי,"לא שעולה לי לראש לשיעורי בית.
לרוב הפונקציות שנעבוד איתן יהיו די קלות לניתוח ולכן לא יהיה צריך לקרב.
במהלך ההרצאות כן ישתמשו בקירובים לפעמים. למשל e^x>=1+x ל x>=0"
9578,תשובה ל: קירובים שימושיים להוכחת יחס אסימפטוטי,תודה רבה
14701,תרגילי בית - שאלה כללית,אפשר לענות על תרגילי הבית באנגלית כשרושמים תשובה במילים ולא בקוד?
15082,תשובה ל: תרגילי בית - שאלה כללית,כן
18863,פטור מתרגילי בית מעשיים,"שלום, אני חוזר בסמסטר זה על הקורס. לקחתי אותו בסמסטר אביב הקודם וברצוני לשפר את הציון.
שלחתי לפני שבועיים אימייל לכתובת nimrodharel9@gmail.com לגבי פטור מתרגילי בית מעשיים ולא קיבלתי תשובה.
מה לעשות?"
18900,תשובה ל: פטור מתרגילי בית מעשיים,בטיפול
19137,תשובה ל: פטור מתרגילי בית מעשיים,"תודה רבה.
אם צריך עוד פרטים או מסמכים, רק תגידו."
30051,פורמט וורד לתרגיל המעשי,"היי , האם אפשרי לפרסם את קובץ הפידיאף של התרגיל המעשי כקובץ וורד  ? בשביל שיהיה אפשרי לעשות באופן ישיר את החלק הניסויי במסמך ולא יהיה צריך להעתיק הכל לקובץ וורד בידיים ? ( ניסיתי לעשות קופי פייסט אבל הקובץ עבר בצורה לא טובה לוורד ... ) "
30053,מטלה מעשית מימוש AVL,"היי, בתיאור כתוב לבצע השמה לBF אבל בפונקציה אמורים להשים ערך גובה, למה הכוונה?

בנוסף להבא- באיזה פורום לשאול בנוגע למטלה המעשית במידת הצורך?

תודה מראש"
30183,תשובה ל: מטלה מעשית מימוש AVL,"הידד על המהירות, נפתח פורום ייעודי. הכוונה היא לגובה העץ, כפי שהוגדר גם בפונקציית הget."
62423,העלאת התרגיל האחרון ופתרונו,"היי, בתרגול האחרון נאמר שהולך לעלות תרגיל בית אחרון (שלא להגשה) עם פתרונות. יש אפשרות להעלות את הקבצים?

תודה מראש"
62446,תשובה ל: העלאת התרגיל האחרון ופתרונו,"כן, עכשיו אמור להיות זמין לכם."
69032,הוספת נוסחה לסכום סדרה הנדסית וחשבונית לדף נוסחאות למבחן,"האם ניתן להוסיף את הנוסחא לסכום סדרה הנדסית וחשבונית לדף נוסחאות של המבחן?

תודה רבה"
69170,תשובה ל: הוספת נוסחה לסכום סדרה הנדסית וחשבונית לדף נוסחאות למבחן,זאת נוסחה שאנו מצפים שתדאו לפתח במידת הצורך
71409,תשובה ל: הוספת נוסחה לסכום סדרה הנדסית וחשבונית לדף נוסחאות למבחן,"אנחנו צריכים להדפיס לעצמנו את הדף נוסחאות ולהביא אותו איתנו? או שאתם מביאים לנו?
במידה ואנחנו מדפיסים ניתן להכין דף נוסחאות גם משלנו? תודה !"
71605,תשובה ל: הוספת נוסחה לסכום סדרה הנדסית וחשבונית לדף נוסחאות למבחן,דף הנוסחאות יחולק יחד עם הבחינה.
