id,subject,message
62481,2019AA שאלה 2 סעיף א,"היי,

אין לסעיף הזה פתרון בפתרונות הרשמיים, אשמח לפידבק על הפתרון שלי.

לדעתי ניתן להוסיף את הפעולה בזמן O(1) אפילו בw.c על ידי הגדלת הערך של a בd, ולבצע בדיקה האם הערך החדש קטן מהערך של Succ(a). אם כן, סיימנו. אם לא, נחליף ביניהם בשינוי פוינטרים בO(1). מובטח שהערך החדש קטן מSucc(Succ(a)) לכן לאחר ההחלפה כלל הערימה לא מופר. ומינימום הערימה לא יכול להשתנות כי מובטח שהוא לא a."
63232,תשובה ל: 2019AA שאלה 2 סעיף א,"הפתרון נכון.

שים לב שזה שהפתרון הוא O(1) WC לא אומר עדיין שהאמורטייזד שלו בתוך ה""bundle"" עם שאר הפעולות הוא O(1).
ספציפית בשאלה הזאת זה ברור כי המימוש שלך לא משפיע על פונקציית הפוטנציאל שאיתה הוכיחו את זמני האמורטייזד של שאר הפעולות."
69399,תשובה ל: 2019AA שאלה 2 סעיף א,"שלום,

בשקופית 70 במצגת של הרצאה 8 כשהגדרנו ערימת פיבונאצ'י אמרנו שכל אחד מהילדים מחזיק מצביע להורה שלו. על כן, לא ברור לי איך נעשה שינוי של כל המצביעים של הילדים של צומת מסויים ב-O(1).
אשמח אם תוכל להסביר כיצד הדבר מתבצע.

תודה רבה!"
69495,תשובה ל: 2019AA שאלה 2 סעיף א,אפשר רק להחליף את המפתחות בין 2 הnodes ולא להחליף את המצביעים ל nodes
70048,שאלת המשך לסעיף ב',"היי ,

לגבי סעיף ב' בשאלה , לא הצלחתי להבין למה אם אנחנו מבצעים n פעמים findMin הסיבוכיות של כל findMin נשארת o(1)? אם מוחקים את המינימום אנחנו עלולים לשלם n בכל איטרציה ואם אנחנו מחפשים בעץ שנוצר אחרי המחיקה הראשונה logn. 
תודה"
70065,תשובה ל: שאלת המשך לסעיף ב',"אני חושבת שהכוונה בפתרון היא שלא מוחקים את המינימום, אלא רק משנים את הערך שלו לאינסוף. כדי להפריך צריך להניח שincreaseKey קורה בO(1) אמורטייזד כולל מציאת המינימום החדש, למרות שאנחנו יודעים שבערמת פיבונאצי זה לא הגיוני, אבל זה לא משנה, אנחנו גם ככה מנסים להפריך את זה."
70077,תשובה ל: שאלת המשך לסעיף ב',"לא הבנתי למה הסקת שincreaseKey כולל בתוכו findMin ? אם אנחנו עושים רק Inserts אנחנו יכולים לתחזק שדה שאומר מי המינימום. אבל אם אנחנו עושים inreaseKey למינימום , פוטנציאלית כל אחד מבין n האיברים בערימה יכול להיות המינימום החדש עכשיו וצריך לחפש אותו מבין כולם ."
70111,תשובה ל: שאלת המשך לסעיף ב',"נכון, ובגלל זה כמו שאתה אומר זה באמת לא אפשרי לעשות את increaseKey בO(1) אמורטייזד, כי אנחנו נהיה חייבים שהמתודה תדאג לתחזק גם היא את המינימום ואי אפשר לעשות את זה בזמן קבוע באמורטייזד. אבל, זה לא הוכחה. ולכן תניח בשלילה שהיית יכול לעשות דבר כזה, אפילו להשיג את המינימום החדש בכל increaseKey בO(1) אמורטייזד, ואז תגיע לסתירה."
70118,תשובה ל: שאלת המשך לסעיף ב',"תודה לירון.
בסעיף ב אסור להניח מימוש קונקרטי, צריך להוכיח שלא קיים אף מימוש של הADT עם זמני האמורטייזד של השאלה"
79346,תשובה ל: שאלת המשך לסעיף ב',בעצם בגלל שהincreaseKey הוא O1 אמורטייזד אז יוצא שהמיון הוא On אמורטייזד? וזה עדיין סותר את החסם התחתון?
80137,תשובה ל: שאלת המשך לסעיף ב',"המיון יצא O(n) ב WC.

כשמדברים על אמורטייזד אז מדברים על העלות הממוצעת של פעולה בתוך סדרת פעולות, אין משמעות ללומר שסדרת פעולות היא O(f(n)) אמורטייזד.
כאן הייתה לנו סדרה של פעולות וניתחנו את העלות של הסדרה כולה על סמך המידע על זמני האמורטייזד."
82151,תשובה ל: 2019AA שאלה 2 סעיף א,"היי נתן,

מדוע הפיתרון נכון? למה הבדיקה של העוקב מבטיחה שלא הופר כלל הערימה? הרי בערימה בכלל אין סדר מוחלט בין המפתחות, אנו יודעים יכול להיות שהעוקב אפילו לא באותו עץ איתו. או שאני מפספסת משהו?"
